Location,Date,Description,Weaponry,Casulties,Shot Down
Ramieh,04-12-2023,"On 4 December 2023, Israeli fighter jets struck the outskirts of Ramieh (Bint Jbeil). There were no casualties.",unknown,0,0
Kfar Hamam,04-12-2023,"On 4 December 2023, Israeli fighter jets struck the outskirts of Kfar Hamam (Hasbeiya). There were no casualties.",unknown,0,0
Ramieh,04-12-2023,"On 4 December 2023, Israeli artillery targeted the outskirts of Ramieh (Bint Jbeil) with more than 100 shells. There were no casualties.",shells,0,0
Rmaysh,04-12-2023,"On 4 December 2023, Israeli artillery targeted the outskirts of Rmaysh (Bint Jbeil) with more than 100 shells. There were no casualties.",shells,0,0
Khiyam,04-12-2023,"On 4 December 2023, Israeli artillery targeted the outskirts of Khiyam (Marjayoun). There were no casualties.",unknown,0,0
Al Wazzani,04-12-2023,"On 4 December 2023, Israeli artillery targeted the outskirts of Al Wazzani (Hasbeiya), while Israeli military forces opened machinegun fire towards the houses in the town, resulting in the injury of a Syrian civilian.",unknown,0,0
Ras al Naqoura,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Ras al Naqoura (Tyr) multiple times throughout the day. There were no casualties.",unknown,0,0
Umm Touteh,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Umm Touteh (Tyr). There were no casualties.",unknown,0,0
Jebbayn,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Jebbayn (Tyr). There were no casualties.",unknown,0,0
Aitaroun,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Aitaroun (Bint Jbeil). There were no casualties.",unknown,0,0
Houla,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Houla (Marjayoun). There were no casualties.",unknown,0,0
Mays el Jabal,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Mays el Jabal (Marjayoun). There were no casualties.",unknown,0,0
Mhaibib,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Mhaibib (Marjayoun). There were no casualties.",unknown,0,0
El Hamames,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of El Hamames (Marjayoun). There were no casualties.",unknown,0,0
Borj el Mlouk,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Borj el Mlouk (Marjayoun). There were no casualties.",unknown,0,0
Tell en Nhas,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Tell en Nhas (Marjayoun). There were no casualties.",unknown,0,0
Tayr Harfa,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Tayr Harfa (Tyr). There were no casualties.",unknown,0,0
Houla,03-12-2023,"On 3 December 2023, Israeli fighter jets struck the outskirts of Houla (Marjayoun). There were no casualties.",unknown,0,0
Bent Jbeil,03-12-2023,"On 3 December 2023, Israeli fighter jets struck the Slouki valley (coded to Bent Jbeil) (Al Nabatieh). There were no casualties.",unknown,0,0
Labbouneh,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Labbouneh (Tyr). There were no casualties.",unknown,0,0
Fradis,03-12-2023,"On 3 December 2023, Israeli fighter jets struck the forests between Fradis (Hasbeiya) and El Habbariye. There were no casualties.",unknown,0,0
Qouzah,03-12-2023,"On 3 December 2023, Israeli fighter jets struck the outskirts of Qouzah (Bint Jbeil). There were no casualties.",unknown,0,0
El Majidiye,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of El Majidiye (Hasbeiya). There were no casualties.",unknown,0,0
Kfar Kila,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Kfar Kila (Marjayoun). There were no casualties.",unknown,0,0
Aadayseh Marjayoun,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Aadayseh Marjayoun (Marjayoun). There were no casualties.",unknown,0,0
Markaba,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Markaba (Marjayoun). There were no casualties.",unknown,0,0
Yaroun,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Yaroun (Bint Jbeil). There were no casualties.",unknown,0,0
Kfar Chouba,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Kfar Chouba (Hasbeiya). There were no casualties.",unknown,0,0
Boustane,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Boustane (Tyr). There were no casualties.",unknown,0,0
Marwahin,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Marwahin (Tyr) multiple times throughout the day. There were no casualties. An empty house was struck by artillery shells, and Israeli artillery used white phosphorus shells to target the town. HRW and other international organizations have accused Israel of using white phosphorous bombs in this attack.",shells,0,0
Beit Lif,03-12-2023,"On 3 December 2023, Israeli fighter jets struck the outskirts of Beit Lif (Bint Jbeil). There were no casualties.",unknown,0,0
Chihhine,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Chihhine (Tyr). There were no casualties.",unknown,0,0
Marjayoun,03-12-2023,"On 3 December 2023, Israeli \",unknown,0,0
Aita ech Chaab,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Aita ech Chaab (Bint Jbeil) multiple times throughout the day. There were no casualties.",unknown,0,0
Ramieh,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Ramieh (Bint Jbeil). There were no casualties.",unknown,0,0
Al Wazzani,03-12-2023,"On 3 December 2023, Israeli artillery targeted an empty house on the outskirts of Al Wazzani (Hasbeiya). There were no casualties.",unknown,0,0
Kfar Hamam,03-12-2023,"On 3 December 2023, Israeli fighter jets struck an area between Kfar Hamam (Hasbeiya) and Rachayya el Foukhar. There were no casualties.",unknown,0,0
Aita ech Chaab,03-12-2023,"On 3 December 2023, at around 13:00, an Israeli drone struck the northern outskirts of Aita ech Chaab (Tyr). There were no casualties.",drone,0,0
Majdel Selm,03-12-2023,"On 3 December 2023, Israeli fighter jets struck the outskirts of Majdel Selm (Marjayoun). There were no casualties.",unknown,0,0
Khiyam,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Khiyam (Marjayoun). There were no casualties.",unknown,0,0
El Habbariye,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of El Habbariye (Hasbeiya). There were no casualties.",unknown,0,0
Chebaa,03-12-2023,"On 3 December 2023, Israeli artillery targeted the outskirts of Chebaa (Hasbeiya). There were no casualties.",unknown,0,0
Kfar Kila,02-12-2023,"On 2 December 2023, Israeli military forces used heavy machineguns and tanks to target the outskirts of Kfar Kila (Marjayoun). There were no casualties.",unknown,0,0
Ras al Naqoura,02-12-2023,"On 2 December 2023, Israeli fighter jets struck the outskirts of Ras al Naqoura (Tyr) multiple times. There were no casualties.",unknown,0,0
Ras al Naqoura,02-12-2023,"On 2 December 2023, Israeli artillery targeted the Hamoul valley and Rouwaysat locations near Ras al Naqoura (Tyr). There were no casualties.",unknown,0,0
Maroun er Ras,02-12-2023,"On 2 December 2023, Israeli artillery targeted the outskirts of Maroun er Ras (Bint Jbeil). There were no casualties.",unknown,0,0
Yaroun,02-12-2023,"On 2 December 2023, Israeli artillery targeted the outskirts of Yaroun (Bint Jbeil). There were no casualties.",unknown,0,0
Blida,02-12-2023,"On 2 December 2023, Israeli artillery targeted an empty house for the fourth time in Blida (Marjayoun). There were no casualties.",unknown,0,0
Qouzah,02-12-2023,"On 2 December 2023, Israeli artillery targeted the outskirts of Qouzah (Bint Jbeil) with 3 rockets. There were no casualties.",rockets,0,0
Kfar Kila,02-12-2023,"On 2 December 2023, Israeli artillery targeted the \",unknown,0,0
Marwahin,02-12-2023,"On 2 December 2023, Israeli artillery targeted the \",unknown,0,0
Labbouneh,02-12-2023,"On 2 December 2023, Israeli artillery targeted the outskirts of Labbouneh (Tyr) with incendiary bombs. There were no casualties.",unknown,0,0
Kfar Chouba,02-12-2023,"On 2 December 2023, an Israeli drone struck the Wadad area on the outskirts of Kfar Chouba (Hasbeiya). There were no casualties.",drone,0,0
Labbouneh,02-12-2023,"On 2 December 2023, Israeli fighter jets struck Labbouneh (Tyr) with a number of missiles. There were no casualties.",missiles,0,0
El Majidiye,02-12-2023,"On 2 December 2023, Israeli artillery targeted the El Majidiye main road (Hasbeiya). There were no casualties.",unknown,0,0
Qouzah,02-12-2023,"On 2 December 2023, Israeli fighter jets struck the outskirts of Qouzah (Bint Jbeil). There were no casualties.",unknown,0,0
Qlayaa,02-12-2023,"On 2 December 2023, Israeli artillery targeted the outskirts of Qlayaa (Marjayoun). There were no casualties.",unknown,0,0
Borj el Mlouk,02-12-2023,"On 2 December 2023, Israeli artillery targeted the outskirts of Borj el Mlouk (Marjayoun). There were no casualties.",unknown,0,0
Deir Mimas,02-12-2023,"On 2 December 2023, Israeli artillery targeted the outskirts of Deir Mimas (Marjayoun). There were no casualties.",unknown,0,0
Aadayseh Marjayoun,02-12-2023,"On 2 December 2023, Israeli artillery targeted the outskirts of Aadayseh Marjayoun (Marjayoun). There were no casualties.",unknown,0,0
Tayr Harfa,02-12-2023,"On 2 December 2023, Israeli artillery targeted the outskirts of Tayr Harfa (Tyr). There were no casualties.",unknown,0,0
Kfar Chouba,02-12-2023,"On 2 December 2023, Israeli artillery targeted the \",unknown,0,0
Blida,02-12-2023,"On 2 December 2023, Hezbollah announced the death of one of its fighters (likely due to Israeli shelling along the southern Lebanese border). Coded to Blida.",shelling,0,0
Aalma Ech Chaab,02-12-2023,"On 2 December 2023, Israeli artillery targeted the outskirts of Aalma Ech Chaab (Tyr) with white phosphorus shells. There were no casualties. HRW and other international organizations have accused Israel of using white phosphorous bombs in this attack.",shells,0,0
Beit Lif,02-12-2023,"On 2 December 2023, Israeli fighter jets struck two houses in Beit Lif (Bint Jbeil). There were no casualties.",unknown,0,0
Marjayoun,02-12-2023,"On 2 December 2023, Israeli artillery targeted the plains of Marjayoun (Marjayoun) multiple times during the day. There were no casualties.",unknown,0,0
Khiyam,02-12-2023,"On 2 December 2023, Israeli artillery targeted the outskirts of Khiyam (Marjayoun) with white phosphorus and flares. There were no casualties. HRW and other international organizations have accused Israel of using white phosphorous bombs in this attack.",unknown,0,0
Aita ech Chaab,02-12-2023,"On 2 December 2023, Israeli artillery targeted the outskirts of Aita ech Chaab (Bint Jbeil). There were no casualties.",unknown,0,0
Ramieh,02-12-2023,"On 2 December 2023, Israeli artillery targeted the outskirts of Ramieh (Bint Jbeil). There were no casualties.",unknown,0,0
Al Wazzani,02-12-2023,"On 2 December 2023, Israeli artillery targeted the outskirts of Al Wazzani (Hasbeiya). There were no casualties.",unknown,0,0
Kfar Hamam,02-12-2023,"On 2 December 2023, Israeli fighter jets struck the heights of Kfar Hamam (Hasbeiya). There were no casualties.",unknown,0,0
Mazraat Sarada,02-12-2023,"On 2 December 2023, Israeli artillery targeted the \",unknown,0,0
Kounine,01-12-2023,"On 1 December 2023, overnight, Israeli military forces targeted the outskirts of Kounine (Bint Jbeil) with more than 50 heavy artillery shells. There were no casualties.",shells,0,0
Jebbayn,01-12-2023,"On 1 December 2023, Israeli fighter jets struck a house in Jebbayn (Tyr), killing a Hezbollah fighter and wounding 3 others.",unknown,0,0
Houla,01-12-2023,"On 1 December 2023, Israeli military forces shelled a house in Houla (Marjayoun), killing a Hezbollah fighter and his mother.",unknown,0,0
Ras al Naqoura,01-12-2023,"On 1 December 2023, Israeli fighter jets struck the outskirts of Ras al Naqoura (Tyr). There were no casualties.",unknown,0,0
Markaba,01-12-2023,"On 1 December 2023, Israeli artillery targeted the outskirts of Markaba (Marjayoun). There were no casualties.",unknown,0,0
Labbouneh,01-12-2023,"On 1 December 2023, an Israeli combat helicopter fired a missile towards the forests of Labbouneh (Tyr). There were no casualties.",unknown,0,0
Deir Mimas,01-12-2023,"On 1 December 2023, Israeli artillery targeted the outskirts of Deir Mimas (Marjayoun). There were no casualties.",unknown,0,0
Mays el Jabal,01-12-2023,"On 1 December 2023, Israeli artillery targeted the outskirts of Mays el Jabal (Marjayoun). There were no casualties.",unknown,0,0
Aadayseh Marjayoun,01-12-2023,"On 1 December 2023, Israeli artillery targeted the outskirts of Aadayseh Marjayoun (Marjayoun). There were no casualties.",unknown,0,0
Qouzah,01-12-2023,"On 1 December 2023, Israeli military forces fired a precision guided missile towards the forests of Qouzah (Bint Jbeil). There were no casualties.",unknown,0,0
Ras al Naqoura,01-12-2023,"On 1 December 2023, Israeli military forces shelled Hamoul valley south of Ras al Naqoura (Tyr). There were no casualties.",unknown,0,0
Aalma Ech Chaab,01-12-2023,"On 1 December 2023, Israeli military forces shelled the outskirts of Aalma Ech Chaab (Tyr). There were no casualties.",unknown,0,0
Kfar Kila,01-12-2023,"On 1 December 2023, Israeli military forces targeted \",unknown,0,0
Aita ech Chaab,01-12-2023,"On 1 December 2023, Israeli fighter jets struck the outskirts of Aita ech Chaab (Bint Jbeil). There were no casualties.",unknown,0,0
Ramieh,01-12-2023,"On 1 December 2023, Israeli artillery targeted the outskirts of Ramieh (Bint Jbeil). There were no casualties.",unknown,0,0
Khiyam,01-12-2023,"On 1 December 2023, Israeli military forces fired a number of flares over Khiyam (Marjayoun). The flares were fired from launchers and one of them landed in Abou Zainab junction in the town, injuring a civilian.",unknown,1,0
Chebaa,01-12-2023,"On 1 December 2023, Israeli military forces from the \",unknown,0,0
Marwahin,30-11-2023,"On 30 November 2023, Israeli artillery targeted the outskirts of Marwahin (Tyr) with 6 shells. There were no casualties.",shells,0,0
Ramieh,30-11-2023,"On 30 November 2023, Israeli artillery targeted the outskirts of Ramieh (Bint Jbeil). There were no casualties.",unknown,0,0
Houla,29-11-2023,"On 29 November 2023, Israeli military forces opened fire towards the vicinity of a Lebanese army patrol in Houla (Marjayoun). There were no casualties.",unknown,0,0
Yaroun,29-11-2023,"On 29 November 2023, Israeli military forces opened fire at a Lebanese army patrol in Yaroun (Bint Jbeil). There were no casualties.",unknown,0,0
Aita ech Chaab,28-11-2023,"On 28 November 2023, Israeli military forces shelled the outskirts of Aita ech Chaab (Bint Jbeil). There were no casualties.",unknown,0,0
Marwahin,26-11-2023,"On 26 November 2023, Israeli artillery shelled \",unknown,0,0
Aitaroun,25-11-2023,"On 25 November 2023, Israeli military forces opened fire towards a UNIFIL patrol near Aitaroun (Bint Jbeil), damaging their vehicle. There were no casualties.",unknown,0,0
